,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
0,0_1,9,37945.555555555555,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,45751.088854489164,33924.26,12657.444444444445,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,9821.020256181115,5065.1925
1,0_2,16,40073.9375,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,45751.088854489164,33924.26,16504.5,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,9821.020256181115,5065.1925
2,0_3,5,39798.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,45751.088854489164,33924.26,14650.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,9821.020256181115,5065.1925
3,0_4,14,46654.57142857143,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,45751.088854489164,33924.26,17478.214285714286,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,9821.020256181115,5065.1925
4,0_5,21,47032.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,45751.088854489164,33924.26,16103.904761904761,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,9821.020256181115,5065.1925
5,0_6,23,43417.260869565216,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,45751.088854489164,33924.26,16616.739130434784,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,9821.020256181115,5065.1925
6,0_7,5,42137.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,45751.088854489164,33924.26,13976.6,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,9821.020256181115,5065.1925
7,0_8,5,43900.6,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,45751.088854489164,33924.26,13909.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,9821.020256181115,5065.1925
8,0_9,5,39716.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,45751.088854489164,33924.26,13787.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,9821.020256181115,5065.1925
9,0_10,5,38840.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,45751.088854489164,33924.26,10541.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,9821.020256181115,5065.1925
