,fname_green,label,area,eccentricity,perimeter,mean_intensity_green,fname_red,mean_intensity_red,intensity_ratio
0,Z0_C0_T00.tif,0_1,26,0.7693817353661786,16.48528137423857,11281.307692307691,Z0_C1_T00.tif,7232.0,1.559915333560245
1,Z0_C0_T00.tif,0_2,91,0.9227289586937116,43.21320343559643,11817.912087912087,Z0_C1_T00.tif,5379.527472527472,2.1968308830588903
2,Z0_C0_T00.tif,0_3,24,0.5849866175853743,15.071067811865476,11238.416666666666,Z0_C1_T00.tif,4740.166666666667,2.37089061566049
3,Z0_C0_T00.tif,0_4,68,0.15983748251554067,27.31370849898476,13615.617647058823,Z0_C1_T00.tif,5981.161764705882,2.2764168873349906
4,Z0_C0_T00.tif,0_5,47,0.498065705390573,22.48528137423857,13784.510638297872,Z0_C1_T00.tif,7529.446808510638,1.8307467983859118
5,Z0_C0_T00.tif,0_6,30,0.4509717590117594,17.071067811865476,11489.033333333333,Z0_C1_T00.tif,3604.733333333333,3.187207560429805
6,Z0_C0_T00.tif,0_7,58,0.7837835573452098,26.485281374238568,12065.137931034482,Z0_C1_T00.tif,5418.517241379311,2.2266493569305763
7,Z0_C0_T00.tif,0_8,26,0.5440588203494177,15.65685424949238,11888.23076923077,Z0_C1_T00.tif,4710.576923076923,2.523731373749745
8,Z0_C0_T00.tif,0_9,16,0.5773502691896258,11.65685424949238,10616.75,Z0_C1_T00.tif,4082.375,2.600630760280474
9,Z0_C0_T00.tif,0_10,8,0.5773502691896258,7.65685424949238,10588.0,Z0_C1_T00.tif,4105.5,2.5789794178540983
10,Z0_C0_T01.tif,1_1,8,0.5773502691896258,7.65685424949238,11786.875,Z0_C1_T01.tif,4847.625,2.431474175498311
11,Z0_C0_T01.tif,1_2,69,0.9210665964576923,35.55634918610404,13012.565217391304,Z0_C1_T01.tif,5273.04347826087,2.467752308707124
12,Z0_C0_T01.tif,1_3,63,0.42854503153753154,26.48528137423857,14162.539682539682,Z0_C1_T01.tif,5843.793650793651,2.4235180995167847
13,Z0_C0_T01.tif,1_4,19,0.5207037318817047,13.071067811865476,11632.736842105263,Z0_C1_T01.tif,4711.1578947368425,2.469188488694253
14,Z0_C0_T01.tif,1_5,49,0.4138506212220425,22.727922061357855,14193.551020408164,Z0_C1_T01.tif,7701.734693877551,1.8429031360546924
15,Z0_C0_T01.tif,1_6,30,0.4509717590117594,17.071067811865476,11984.5,Z0_C1_T01.tif,5044.966666666666,2.3755360127916276
16,Z0_C0_T01.tif,1_7,8,0.5773502691896258,7.65685424949238,11537.125,Z0_C1_T01.tif,3742.625,3.0826291707023814
17,Z0_C0_T01.tif,1_8,21,0.0,13.65685424949238,11080.190476190477,Z0_C1_T01.tif,4509.952380952381,2.45683092419939
18,Z0_C0_T01.tif,1_9,58,0.8136347429692361,26.72792206135785,13219.01724137931,Z0_C1_T01.tif,5156.137931034483,2.5637439141832967
19,Z0_C0_T01.tif,1_10,12,0.0,9.65685424949238,11346.083333333334,Z0_C1_T01.tif,4742.5,2.3924266385521
20,Z0_C0_T01.tif,1_11,12,0.0,9.65685424949238,11248.666666666666,Z0_C1_T01.tif,4115.666666666667,2.733133554709646
21,Z0_C0_T02.tif,2_1,31,0.5040180831867871,17.899494936611664,10330.709677419354,Z0_C1_T02.tif,6848.290322580645,1.5085093053599439
22,Z0_C0_T02.tif,2_2,43,0.5430826812789107,22.14213562373095,10771.302325581395,Z0_C1_T02.tif,4907.395348837209,2.1949122823645375
23,Z0_C0_T02.tif,2_3,78,0.9060445571430342,37.55634918610404,11947.71794871795,Z0_C1_T02.tif,5026.282051282052,2.3770488458104833
24,Z0_C0_T02.tif,2_4,98,0.7161233044638768,42.76345596729059,12485.112244897959,Z0_C1_T02.tif,5203.214285714285,2.3994999166527755
25,Z0_C0_T02.tif,2_5,65,0.8841105895088873,33.55634918610404,11055.861538461539,Z0_C1_T02.tif,4441.815384615385,2.4890412097617745
26,Z0_C0_T02.tif,2_6,97,0.9280313212506539,43.79898987322333,11955.288659793814,Z0_C1_T02.tif,6458.20618556701,1.8511779147763734
27,Z0_C0_T02.tif,2_7,12,0.0,9.65685424949238,10211.333333333334,Z0_C1_T02.tif,5833.25,1.7505392934184776
28,Z0_C0_T02.tif,2_8,21,0.0,13.65685424949238,10351.285714285714,Z0_C1_T02.tif,4057.9523809523807,2.550864264172642
29,Z0_C0_T02.tif,2_9,86,0.8197851080021454,33.79898987322333,11753.988372093023,Z0_C1_T02.tif,5796.546511627907,2.0277571047716862
30,Z0_C0_T02.tif,2_10,20,0.7302967433402214,13.65685424949238,10796.1,Z0_C1_T02.tif,4563.15,2.365931428947109
31,Z0_C0_T02.tif,2_11,70,0.8338908995134869,31.31370849898476,11732.214285714286,Z0_C1_T02.tif,4468.4857142857145,2.6255458864300465
32,Z0_C0_T02.tif,2_12,34,0.7824420540907364,19.899494936611664,10430.235294117647,Z0_C1_T02.tif,9659.823529411764,1.0797542276378207
33,Z0_C0_T03.tif,3_1,32,0.0,17.65685424949238,12036.8125,Z0_C1_T03.tif,3830.4375,3.1424119307520355
34,Z0_C0_T03.tif,3_2,72,0.9162421505958213,36.72792206135786,12139.416666666666,Z0_C1_T03.tif,5101.486111111111,2.3795843803684655
35,Z0_C0_T03.tif,3_3,66,0.5623484609468288,29.556349186104043,13920.333333333334,Z0_C1_T03.tif,5520.19696969697,2.5217095349584033
36,Z0_C0_T03.tif,3_4,19,0.5207037318817046,13.071067811865476,11429.315789473685,Z0_C1_T03.tif,5214.0,2.192043688046353
