,fname_green,label,area,eccentricity,perimeter,mean_intensity_green,bg_value_mask,fname_red,mean_intensity_red,bg_value_channel,intensity_ratio
0,Z0_C0_T00.tif,0_1,33,0.6762876013395875,18.48528137423857,11760.259696969697,6813.54,Z0_C1_T00.tif,2151.1830303030306,3502.36,5.466880098674387
1,Z0_C0_T00.tif,0_2,26,0.5440588203494177,15.65685424949238,13642.020769230769,6813.54,Z0_C1_T00.tif,-344.88923076923066,3502.36,-39.55478905155726
2,Z0_C0_T00.tif,0_3,64,0.860434572549799,30.727922061357855,13201.821250000003,6813.54,Z0_C1_T00.tif,4025.28625,3502.36,3.2797223427278004
3,Z0_C0_T00.tif,0_4,32,0.0,17.65685424949238,12436.25875,6813.54,Z0_C1_T00.tif,5103.411250000001,3502.36,2.436852164324401
4,Z0_C0_T00.tif,0_5,21,0.0,13.65685424949238,11067.575714285716,6813.54,Z0_C1_T00.tif,450.1180952380954,3502.36,24.58815993263143
5,Z0_C0_T00.tif,0_6,8,0.5773502691896258,7.65685424949238,11614.915,6813.54,Z0_C1_T00.tif,3774.505,3502.36,3.077202176179393
6,Z0_C0_T00.tif,0_7,19,0.5207037318817047,13.071067811865476,10153.237368421054,6813.54,Z0_C1_T00.tif,1463.1957894736845,3502.36,6.939083232376715
7,Z0_C0_T00.tif,0_8,16,0.5773502691896258,11.65685424949238,11443.665,6813.54,Z0_C1_T00.tif,3619.88,3502.36,3.1613382211565026
8,Z0_C0_T00.tif,0_9,79,0.9028063068983181,34.72792206135785,13114.429240506333,6813.54,Z0_C1_T00.tif,3421.4116455696203,3502.36,3.8330462975679014
9,Z0_C0_T00.tif,0_10,12,0.0,9.65685424949238,10616.123333333337,6813.54,Z0_C1_T00.tif,60360.88,3502.36,0.17587754408705336
10,Z0_C0_T00.tif,0_11,42,0.6616378820958643,21.071067811865476,13930.45666666667,6813.54,Z0_C1_T00.tif,2716.141904761905,3502.36,5.128766152550415
11,Z0_C0_T00.tif,0_12,40,0.6675099140329898,21.31370849898476,13510.665000000003,6813.54,Z0_C1_T00.tif,3763.3050000000003,3502.36,3.590106302837533
12,Z0_C0_T01.tif,1_1,66,0.8750881644664174,31.31370849898476,10755.32212121212,6813.54,Z0_C1_T01.tif,1992.986363636364,3502.36,5.396585906181601
