,fname_green,label,area,eccentricity,perimeter,mean_intensity_green,fname_red,mean_intensity_red,intensity_ratio
0,Z0_C1_T00.tif,0_1,14,0.8506877704240235,11.071067811865476,5114.04142857143,Z0_C0_T00.tif,806.3228571428574,6.34242398472076
1,Z0_C1_T00.tif,0_2,10,0.9214426752509268,10.899494936611667,7822.470000000001,Z0_C0_T00.tif,1154.7800000000002,6.77399158281231
2,Z0_C1_T00.tif,0_3,101,0.8016221399740276,56.18376618407357,10876.544257425743,Z0_C0_T00.tif,2891.2443564356436,3.7618903546549283
3,Z0_C1_T00.tif,0_4,5,0.0,5.656854249492381,6644.370000000001,Z0_C0_T00.tif,2126.88,3.1239985330625144
4,Z0_C1_T00.tif,0_5,19,0.8890102324208063,15.31370849898476,8954.127894736843,Z0_C0_T00.tif,3889.8905263157885,2.3018971444467664
5,Z0_C1_T00.tif,0_6,37,0.6282449462609806,27.59188309203678,10183.618648648646,Z0_C0_T00.tif,2802.9232432432427,3.6332135291957735
6,Z0_C1_T00.tif,0_7,22,0.9464318232540159,16.727922061357855,9612.560909090911,Z0_C0_T00.tif,3220.8163636363633,2.9845107028201214
7,Z0_C1_T00.tif,0_8,13,0.7296608671767802,11.071067811865474,9472.046923076925,Z0_C0_T00.tif,3304.295384615385,2.866586010190931
8,Z0_C1_T00.tif,0_9,27,0.5157509931693197,15.899494936611665,10891.340370370368,Z0_C0_T00.tif,3228.0874074074068,3.3739298215340443
9,Z0_C1_T00.tif,0_10,5,0.0,5.656854249492381,9942.570000000002,Z0_C0_T00.tif,2444.0800000000004,4.068021505024386
10,Z0_C1_T00.tif,0_11,26,0.6822000673956523,15.106601717798215,10692.585384615384,Z0_C0_T00.tif,3023.1415384615384,3.536911933688949
11,Z0_C1_T00.tif,0_12,19,0.9251281840700485,14.727922061357855,8392.706842105265,Z0_C0_T00.tif,2930.5747368421057,2.863843305749977
12,Z0_C1_T00.tif,0_13,5,0.0,5.656854249492381,11716.77,Z0_C0_T00.tif,3819.4800000000005,3.0676348612900184
