,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
0,0_1,5.0,33913.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,47338.85296803653,32033.62,57809.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,50301.488412389,23522.1425
1,0_2,8.0,41936.25,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,47338.85296803653,32033.62,50875.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,50301.488412389,23522.1425
2,0_3,8.0,35779.375,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,47338.85296803653,32033.62,45291.875,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,50301.488412389,23522.1425
3,0_4,5.0,55460.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,47338.85296803653,32033.62,53217.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,50301.488412389,23522.1425
4,0_5,5.0,49886.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,47338.85296803653,32033.62,50671.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,50301.488412389,23522.1425
5,0_6,5.0,53583.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,47338.85296803653,32033.62,51793.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,50301.488412389,23522.1425
6,1_1,12.0,34492.166666666664,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,51705.583333333336,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225
7,1_2,10.0,41284.2,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,49886.7,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225
8,1_3,5.0,37406.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,53282.6,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225
9,1_4,5.0,36086.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,46256.2,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225
10,1_5,18.0,39122.38888888889,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,47931.944444444445,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225
11,1_6,10.0,42679.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,51563.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225
12,1_7,8.0,41204.5,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,48570.875,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225
13,1_8,5.0,45715.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,45636.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225
14,1_9,5.0,51211.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,52795.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225
15,1_10,5.0,44472.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,50144.6,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225
16,1_11,5.0,48655.6,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,54337.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225
17,1_12,19.0,44498.15789473684,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,46975.42105263158,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225
18,2_1,19.0,38472.52631578947,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T02.tif,46833.44558019004,32307.255,49123.42105263158,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T02.tif,49866.50079491256,23686.8875
19,2_2,10.0,36191.7,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T02.tif,46833.44558019004,32307.255,47636.1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T02.tif,49866.50079491256,23686.8875
20,2_3,5.0,49060.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T02.tif,46833.44558019004,32307.255,55468.6,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T02.tif,49866.50079491256,23686.8875
