,label,mean_intensity_nuf2_CFP,fname_nuf2_CFP,mean_intensity_YFP_pp1,fname_YFP_pp1,nuf2_CFP_cyto,YFP_pp1_cyto,nuf2_CFP_bg,YFP_pp1_bg
15,0_16,5378.8125,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z00_C0_T0.tif,9215.0625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z00_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
16,0_17,5217.75,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z00_C0_T0.tif,7362.5,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z00_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
17,0_18,5298.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z00_C0_T0.tif,6020.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z00_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
18,1_1,5334.380952380952,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C0_T0.tif,8739.047619047618,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
19,1_2,5331.291666666667,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C0_T0.tif,8785.625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
20,1_3,5481.291666666667,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C0_T0.tif,9064.75,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
21,1_4,5427.047619047619,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C0_T0.tif,9591.47619047619,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
22,1_5,5263.5625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C0_T0.tif,9094.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
23,1_6,5279.285714285715,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C0_T0.tif,9364.357142857143,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
24,1_7,5254.64705882353,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C0_T0.tif,9028.882352941177,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z01_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
